ID gene_1 gene_2 gene_3 gene_4 gene_5 gene_6 gene_7 gene_8 gene_9 gene_10 gene_11 gene_12
U_9 181.746580258202 167.05295570068 129.723637254485 155.970667091627 140.672464193368 157.988704652454 183.523843295842 131.202703721438 111.627958409069 149.787892570352 104.296781959393 197.801926127944
U_3 180.33783247124 171.215597519584 126.043583106739 158.595646326744 138.810235922587 158.338117218539 184.721688986708 129.567905537021 114.472613358816 150.370356456866 103.470728887718 196.186220103298
U_5 181.921180900605 171.487432979858 129.562133176439 158.422453203842 139.140203028369 157.54930260657 183.635358198944 131.803700569936 115.730924035728 149.76403087359 102.600237378942 197.736588498962
U_30 180.279837509224 169.653533309754 127.044930026739 153.916388956126 139.493435515335 154.787257741756 183.340060662836 132.531807531997 113.810342948745 149.056520027393 103.873368482818 195.377186683157
U_4 182.084498784225 169.840870433566 130.798687183145 154.764892156114 140.984944057868 157.724871974705 182.716352520026 131.73089132276 112.480424832397 150.218640119494 103.767601499392 196.289936966442
U_11 178.961125499891 169.587886159568 126.966177908787 159.312244458853 139.787743259067 157.194380129799 183.870134496149 128.640119725003 114.781919882843 150.220336011749 103.209000843829 195.343139814326
U_10 180.248857757494 169.324022621382 129.03845552754 155.917003547314 141.308839729874 158.911395129809 182.984916442867 129.351080844563 112.835863226173 150.330250016158 103.977207730833 197.575273535639
U_24 178.250382661244 171.212849868071 126.644487605732 157.014683643478 140.697429483555 157.059922122612 182.234080270843 130.656925784911 114.520904579621 149.196122361185 103.091663432057 197.002933322777
U_16 178.764455024428 174.645569802692 125.93487375703 157.383264203015 139.148844437919 155.890840661134 181.736269167734 132.7260848233 114.499139345667 147.20110731767 103.254119113463 197.88356351949
U_19 179.032671878557 171.089155952215 127.50173337073 156.867960411841 138.234244954956 156.514139512742 184.179224609062 132.525709084213 114.706896772037 147.971164620514 103.214511155257 197.681219146435
U_18 179.679106242467 169.87223658338 128.5998431518 153.906614407091 138.931633610729 156.65508946377 182.382379906356 128.88523899552 112.154138158246 148.310393046222 102.881820477705 196.205827948252
U_28 179.060551848863 171.979188366387 127.014814212807 158.376633476993 138.266979286836 156.0197617944 183.103216801057 131.796657092178 116.813779748707 149.052310127585 102.871227479318 196.165486038427
U_8 181.818597291334 172.597408218537 128.001679063994 156.669496419584 139.615118725013 157.121086550712 182.893767967663 132.625144530299 114.61203959222 148.552488032163 105.06915869981 196.477695233588
U_1 180.383307913192 169.197579588901 128.706896903005 155.853172638459 139.976897947935 155.935741930907 185.054640434756 131.430518420361 112.18634405649 149.40639703251 102.696650526081 195.799649396712
U_14 182.277176970645 170.40460816129 127.366900955534 155.033433650669 141.075834661283 155.689184268915 185.489398575391 132.892145223907 113.434397780053 149.441743470961 104.265884111326 196.497058693149
U_22 180.495238312262 170.98971422485 127.663616939385 156.873002639312 138.686588939984 156.71835090428 181.578162382462 130.781675007632 114.473931312201 150.497279417238 104.815278956629 197.101429612035
U_29 180.225661121304 169.445386470469 126.533834730131 156.920975055444 137.930090393632 159.058405208025 181.628653606033 131.969391954365 113.296537273424 147.01907788516 103.200645809005 196.245571887055
U_15 181.615863846378 168.945913888276 126.923926965128 156.121171656735 140.138526699001 157.79307538448 183.422192239771 130.243453810239 114.710570748969 150.928440403801 104.36630015432 196.704593535152
U_6 181.105102445844 170.171414387973 127.906919485049 158.673276667565 139.430571679208 157.615713649696 184.587641398629 130.59068615115 115.368931687046 148.88839248136 103.749010524549 197.602733656593
U_27 179.26126483831 170.905830747963 126.915105307997 156.316346430217 138.174461165328 156.300825937483 184.281820728642 130.460362687461 113.522091567279 149.274844713778 103.954232948794 195.923997376104
U_17 178.943859518703 170.896386833765 126.40179469517 156.999513559401 139.22758583439 155.633748192418 182.633223543257 131.736268521927 114.388810857376 148.462300758694 104.109822424691 198.131468136527
U_23 180.140645130922 171.409977941806 127.883945692363 158.467525888919 140.087540231587 156.787838156163 183.457106271879 132.684207883512 114.259218694457 149.019529500515 102.864990612629 195.651198778714
U_2 179.989308248215 170.306280842009 129.181441389258 155.886452990021 141.343327609607 156.950795920472 182.120082178627 132.801587463236 112.681293661149 151.802281268926 103.576634238973 197.434962038047
U_26 179.707190685509 169.903911237191 126.925788200331 155.477849818197 137.188779683592 156.196112376656 181.319866342031 132.127044414711 114.191371557291 149.520829965985 102.660879427657 197.660895945359
U_25 178.953492320572 169.974137185565 127.093581206623 155.42474003156 138.333451424938 154.959096809123 184.213328304093 131.837906614824 113.691619095057 150.024265078385 103.272650335275 197.315481096846
U_21 178.620702461411 170.243553051402 127.845629921056 154.134344030493 138.294723069898 157.142695597784 181.393502006245 132.815926712878 111.986798139592 146.768919942802 105.274467951479 197.31841301619
U_7 181.622012385592 171.157970623064 129.219253319052 156.5687520349 141.399001298146 157.835014626585 183.073907472483 130.138488457535 113.398647657778 150.650657869503 103.656413982722 195.878191761201
U_12 180.184321038722 171.184182086607 127.72891537446 156.019189767859 141.163929008458 157.135155549947 184.907745841091 131.479449924344 115.779407473878 149.62700262133 104.050144968298 196.224217896649
U_20 181.53692675118 173.627681273911 126.811183208306 157.01034532416 140.328594039445 157.610100776882 181.425179616961 130.963888527183 115.462119730364 149.140325604851 102.819772260861 196.853129413074
U_13 181.72672454854 170.443120370258 127.384674601702 155.988966591405 141.084687241238 157.597940250114 185.257285609061 130.689343446129 114.128101013198 149.798847590692 104.494891957818 196.673659260355
